Origem, Destino, Permissoes, Data Chamada, Hora Chamada, Inicio Conversacao, Final Conversacao, Duracao Ligacao, Duracao Conversacao
9870, 20101112, cnat-podelocal, 24/12/2018, 06, 06:52:38, 06:59:26, 431, 408
9868, 9865, cnat-podelocal, 24/12/2018, 07, 07:44:14, 07:44:24, 19, 10
9868, 9867, cnat-podelocal, 24/12/2018, 07, 07:45:15, 07:45:27, 20, 12
9870, 9867, cnat-podelocal, 24/12/2018, 08, 08:31:40, 08:31:55, 21, 15
9868, 9867, cnat-podelocal, 24/12/2018, 09, 09:03:07, 09:03:14, 12, 7
9868, 9866, cnat-podelocal, 24/12/2018, 10, 10:02:18, 10:02:34, 18, 16
9868, 9866, cnat-podelocal, 26/12/2018, 10, 10:34:18, 10:35:16, 62, 58
9870, 32063661, cnat-podelocal, 26/12/2018, 12, 12:15:38, 12:17:32, 127, 114
9868, 9867, cnat-podelocal, 27/12/2018, 13, 13:16:18, 13:16:49, 39, 31
9868, 9866, cnat-podelocal, 27/12/2018, 13, 13:27:35, 13:28:00, 37, 25
9870, 9867, cnat-podelocal, 27/12/2018, 13, 13:37:21, 13:38:00, 43, 39
9870, 40072595, cnat-podelocal, 28/12/2018, 06, 06:56:22, 07:01:39, 333, 317
9870, 40072595, cnat-podelocal, 28/12/2018, 07, 07:02:40, 07:08:57, 392, 377
9870, 9867, cnat-podelocal, 28/12/2018, 08, 08:29:15, 08:29:38, 32, 23
9868, 9866, cnat-podelocal, 28/12/2018, 14, 14:35:46, 14:36:08, 28, 22
9868, 9835, cnat-podelocal, 31/12/2018, 09, 09:16:27, 09:17:05, 42, 38
